"PC1","PC2","name_col"
-0.224893561387646,0.00814657566343242,"C34(1)_t11"
-0.15417153656143,-0.0329010646433733,"C34(2)_t23"
0.223720627955,-0.146312115584158,"C34(3)_t23"
0.0435458297754438,-0.101285866362961,"C35(4)_t30"
0.179360159922111,0.268429621626703,"C41(1)_t25_c"
0.176937852122206,0.322877790719893,"C41(2)_t25_c"
0.0390721857765084,0.421929745202794,"C41(3)_t25_c"
0.0379824216738007,-0.257273097426861,"DF19(1)_t11"
-0.0218681212697837,-0.205727452200608,"DF19(2)_t11"
0.35482329450074,-0.0553488960866513,"DF19(3)_t11"
-0.278821372043497,0.158066825642001,"DF25(4)_t08"
-0.37070888102338,0.0827688650730271,"DF25(5)_t11"
-0.0889245706500217,-0.0179339355074212,"DF25(6)_t11"
-1.33704363016628,-0.0881045699891172,"DF56(4)_t11"
-1.37185969916186,-0.231316730937852,"DF56(5)_t09"
-1.37249783648322,0.176099468037617,"DF56(6)_t09"
0.0885315397527865,0.452536866003949,"DF9(4)_t25_c"
0.205412212162745,0.320578434653624,"DF9(5)_t25_c"
0.137901082428463,0.294052655017608,"DF9(6)_t25_c"
0.0187128084642721,0.405751880580731,"FOX(1)_t24_c"
0.122421630719377,0.437020944135707,"FOX(2)_t22_c"
0.066949274703771,0.360142541130488,"FOX(3)_t24_c"
0.128058482782536,-0.38104280413775,"M(4)_t13"
-0.0114089976869699,0.00126834009102518,"M(5)_t13_c"
0.165887263605773,-0.297840310320333,"M(6)_t13"
0.813547087849464,-0.0147120704825445,"Pv_ctrl1_d8_1"
0.431527507214135,0.157310378297075,"Pv_ctrl1_d8_2"
0.302661147972239,0.0660248667210761,"Pv_ctrl1_d8_3"
0.401187802970689,-1.36265788491169,"Rb_ctrl1_d8_1"
-0.0761986253989047,-0.10100992963822,"Rb_ctrl1_d8_2"
0.0992837987150857,-0.511541404190172,"Rb_ctrl1_d8_3"
-0.0539886580918826,-0.265812101905747,"Rb_ctrl1_d8_4"
-0.10585389306043,-0.377873725012089,"Rb_ctrl1_d8_5"
0.779690060407349,0.0544596585066677,"Pi 18C day 8 001"
0.268810664716398,0.136623263940199,"Pi 18C day 8 002"
0.0970050127691432,0.153646306494012,"Pi 18C day 8 003"
0.285209634025254,0.170958931799918,"Pi 18C day 8 004"
