"RDA1","RDA2"
-0.116884084896592,-0.0245978264690969
-0.171109700911776,0.265109831864518
-0.368284003616614,0.0459041945161988
-0.247648971702041,0.00497928219241893
-0.0246278175728901,0.015550713500318
0.00885704127992385,-0.0549187274625904
-0.0119277790186035,0.089482553116184
-0.350351684995425,-0.285189034472078
-0.274855108126263,0.124236513451506
-0.608456629039776,-0.0325572194691917
-0.109863228345988,-0.00930352264946362
-0.0110195302994307,0.318492681798529
-0.233314337392011,0.0225837361958477
1.24995010038475,0.188965162104465
1.25168595721423,-0.0649503412085212
1.17406320430887,0.0529238423630696
-0.0412529508844429,-0.0239782812522134
-0.0393517983107511,-0.0306647627594336
0.0168313523274842,-0.000735319409428048
0.0673024757396788,-0.0123148228231298
-0.0476432903586311,0.010037833117481
0.0718127667982322,0.00754081397281206
-0.49296020491533,-0.127009646001497
-0.321727988849967,-0.0420154430229992
-0.369223788816639,-0.437572211193706
-0.595644049877548,0.357514307557896
-0.156366487895824,0.302316517302942
-0.0626658557851915,0.15875407891279
0.337669922290412,-0.0896113426914795
0.122583238908007,-0.405674134676293
0.27685172671017,-0.0961283054931083
0.322625170232674,-0.210013821561987
-0.479558397103872,0.23178678537992
0.00706272293772285,0.0944481385211291
0.191999578932322,-0.233409458652817
0.0354424306511282,-0.109982764598994
