"PC1","PC2"
-0.499326938443092,-0.103499745868764
-0.433879343403633,-0.0761916283225135
-0.491884015478476,-0.0841721523570194
-0.658937160322508,-0.327368568590558
-0.302529657231171,-0.0226783349692076
-0.20789513749956,-0.00126273337606473
-0.401206172838045,-0.374302953881673
-0.577279498306872,-0.192325990495674
-0.687563977242238,-0.305279727295614
-0.708770917285704,-0.386518521637612
-0.527181217646556,-0.355192069907446
-0.355923768138895,-0.00127716502888799
-0.402385448551615,-0.0239683766016779
0.0217897097894451,1.20753863936467
0.0257369213176064,1.38979262561689
0.00526590340860174,1.22777409115549
-0.164063533663342,0.0941399258875853
-0.139700240937244,0.194293686731945
-0.0697983384544655,0.169969651937657
-0.241434396396684,0.315735814896098
-0.569180511034595,-0.453825138463026
-0.507597280595031,-0.168878719524472
-0.446011493038127,-0.174789324081292
0.76396452925594,-0.168371329542178
0.870837585391078,0.0189294310001375
0.940709776655069,-0.400947864347154
1.18936685367932,-0.156290876320403
1.00467898967544,-0.301197629667436
1.36225774155197,-0.468472310948644
0.241449778877689,-0.137071092601126
0.402626064621134,0.208823938979509
0.283501922467255,-0.0333259404444593
0.516296034785441,-0.207740893477858
0.358894362291916,0.198910199638438
0.405172872739953,-0.100958917457664
