"RDA1","RDA2"
-0.117176986640855,-0.0253134590592348
-0.172147814407726,0.264567472182189
-0.365435483866598,0.0482454670640109
-0.247852276699,0.00402426192019127
-0.0203842303149034,0.0188667664386866
0.0120625292855551,-0.0516187826156129
-0.00823029359595358,0.091803090778833
-0.350021434992802,-0.285003727950652
-0.274481758502777,0.123888628946341
-0.606717695500514,-0.0313104145379304
-0.110862199718573,-0.00983469843558482
-0.0139482990123483,0.318174790240599
-0.233995799667967,0.0219218430871895
1.24160951846321,0.186378383060788
1.24206063261278,-0.0664617656053627
1.19118490699505,0.0560092753784427
-0.0704543115929675,-0.0464306012550534
-0.0356472308246891,-0.0280744461353954
0.0203455253488525,0.00149883491865851
0.0707434047030563,-0.00923747065033719
-0.0435249129471272,0.0125266184862917
0.0750895199381765,0.0106659900339296
-0.49225005421921,-0.12657784023873
-0.321392816203801,-0.0427201543970386
-0.36857243863886,-0.435988061655217
-0.477070766840266,0.232358882693806
0.00680679178722553,0.0948169056859127
0.191943708509443,-0.23446424709545
0.0359911700984848,-0.110265872443281
-0.592173551282118,0.358123205029092
-0.157253822134034,0.302281878891758
-0.0623919584077518,0.159002274173355
0.335156940326538,-0.0897248002789824
0.122964009074403,-0.406090198694195
0.27514004367281,-0.0959920230484896
0.320887435195265,-0.210046004913525
