name,channel,section,frame,EndNodes_1,EndNodes_2,node_Idx_1,node_Idx_2,Name,Type,Weight,Original,Original_cv,Intensity,Intensity_cv,Gradient,Gradient_cv,Width_initial,Width_initial_cv,Width_intact,Length,Number,Midpoint,Tortuosity,Distance,Width,Width_cv,Area,Volume,Resistance_2,Resistance_4,Resistance_2ave,Resistance_4ave,Or_ij,Or_ji,Region,Route_factor,Accessibility,Accessibility_ratio,Betweenness,cord_Rank,cord_Disconnected,cord_meanDisconnect,spatial_Disconnected,spatial_meanDisconnect,Ai,Aj
DF56(6)_t09,1,1,1,10,20,4412010,4773245,1824,E,4.128700733,0.979956508,0.044416472,0.993899763,0.020614957,172,0.121424221,5.471711636,0.041167878,1,48.55634689,45,4508325,1.243400693,4517.40625,5.471711636,0.041167878,23.51453018,1141.779663,4.128700733,0.138823748,16.51960564,2.207055807,-69.14554196,169.6951535,1511.300722,1.227944851,0.001979683,8.943033218,10554,11,1,2,1,2,0,0
DF56(6)_t09,1,1,1,11,12,4472792,4508920,9,E,1.502739668,0.475490212,0.339273959,0.468627453,0.209539503,67.75,0.198165625,2.572843313,0.187919483,1,3.828427315,4,4484834,1.061814666,4401.291992,2.572843313,0.187919483,5.198960781,19.90384293,1.502739668,0.245203659,5.891065598,3.559812784,0,-135,251.5787397,1.29029274,0.001800816,7.925916672,5278,17,1,2,7,8,0,0
DF56(6)_t09,1,1,1,12,13,4508920,4520962,1826,E,0.237235412,0.68235296,0.04876598,0.619607866,0.071605742,88.5,0.071909167,3.276274681,0.055099219,1,1,2,4508920,1,4399.137695,3.276274681,0.055099219,8.430444717,8.430444717,0.237235412,0.022101354,0.948941648,0.353621662,0,180,,1.290365458,0.001803642,7.934468269,10554,1,1,2,7,8,0,0
DF56(6)_t09,1,1,1,12,14,4508920,4545046,1825,E,46.81896973,0.358683497,0.47618252,0.341736704,0.52572751,50.1428566,0.493981153,1.882646918,0.512951493,1,28.65685272,28,4520974,9.552284241,4397.295898,1.615261555,0.462883949,2.049158573,58.722435,46.81896973,58.56732941,111.8775406,171.5209503,84.80557109,108.4349488,258.29682,1.290428638,0.001804281,7.93395853,0,13,1,2,7,8,0,0
DF56(6)_t09,1,1,1,13,14,4520962,4545046,6020,E,0.393155813,0.698039234,0.019461244,0.692810476,0.059456415,98.66666412,0.055819973,3.611634016,0.061964829,1,2,3,4533004,1,4397.652344,3.611634016,0.061964829,10.24465561,20.48931122,0.393155813,0.030465331,1.561789989,0.478933424,0,180,10.27115998,1.290460229,0.001804668,7.936300755,15828,2,1,2,7,8,0,0
DF56(6)_t09,1,1,1,14,42,4545046,5652902,1827,E,12.44448185,0.752435148,0.17430833,0.891165972,0.099236473,127.3118286,0.111726627,4.639983177,0.100801118,1,102.7695465,93,5098984,1.112860799,4350.924316,4.639983177,0.100801118,16.90918541,1737.749268,12.44448185,0.615163028,48.62187958,9.033558846,7.431407971,163.0724869,2279.774941,1.292068481,0.001825817,7.943993092,21100,19,1,2,7,8,0,0
DF56(6)_t09,1,1,1,15,27,4652297,5013576,10,E,3.078810692,1,0,1,0,198.1935425,0.029403748,5.596104622,0.002582574,1,37.87005615,31,4832937,1.066444874,4662.032715,5.596104622,0.002582574,24.59583282,931.4455566,3.078810692,0.098296508,12.31755161,1.573304296,33.69006753,-149.0362435,1746.959595,1.250932693,0.001899414,8.855131149,5278,17,1,2,1,2,0,0
DF56(6)_t09,1,1,1,16,32,4700873,5182561,6016,E,251.8869019,0.535628915,0.511235416,0.567766607,0.718739688,84.43902588,0.707694411,2.9017694,0.689242184,1,43.31371307,41,4941713,1.061814785,4520.582031,2.9017694,0.689242184,6.613260746,286.4448853,251.8869019,3298.049561,52.39619446,24.89051819,0,-158.1985905,718.5327518,1.224467397,0.001951015,8.819724083,0,17,1,2,1,2,0,0
DF56(6)_t09,1,1,1,16,36,5459558,4700873,1837,E,7.467826366,0.956814945,0.114079215,1,0,193.7804871,0.103892267,5.581118107,0.008498592,1,91.35533142,82,4977873,1.232956409,4508.483887,5.581118107,0.008498591,24.46427345,2234.941895,7.467826366,0.239793986,29.87387466,3.836269855,55.92280472,-172.8749837,3698.091912,1.223531723,0.001988709,8.966061592,5278,16,1,2,1,2,0,0
DF56(6)_t09,1,1,1,17,34,4725461,5219201,1828,E,3.934687853,0.90476191,0.056296188,1,0,170,0.028345076,5.600002289,4.30908E-07,1,48.45584488,42,4966314,1.082153797,4394.635254,5.600002289,4.30908E-07,24.63010597,1193.472534,3.934687853,0.125468299,15.73873711,2.007490158,33.02386756,-166.6075022,1340.847761,1.279148817,0.001978758,8.695919037,21096,15,1,2,5,6,0,0
DF56(6)_t09,1,1,1,18,20,4737145,4773245,1829,E,12.25748444,0.635584652,0.318729818,0.545824289,0.434255838,82.55555725,0.50738579,2.906652212,0.470747113,1,27.24264145,27,4773258,1.040887833,4497.481445,2.569983721,0.399092644,5.187410831,141.3187714,12.25748444,2.87204957,42.0134697,25.4441433,-77.00538321,90,267.5072305,1.229174733,0.001963882,8.832520485,10554,17,1,2,1,2,0,0
DF56(6)_t09,1,1,1,18,21,4785320,4737145,12,E,7.599538803,0.48556155,0.316750109,0.407486647,0.345933795,59.27272797,0.327586681,2.073796988,0.276607335,1,10.41421318,11,4737150,1.291724205,4494.628906,2.073796749,0.276607364,3.37770915,35.17618179,7.599538803,2.895265579,24.66574287,22.94149971,90,-153.4349488,240.2382062,1.234694242,0.001926321,8.658098221,5278,18,1,2,1,2,0,0
DF56(6)_t09,1,1,1,19,49,4749903,6182790,11,E,27.11566734,0.755223811,0.166627482,0.834708691,0.183142751,118.4104462,0.180447787,4.297553539,0.180260554,1,173.1787262,134,5520531,1.064189911,4305.51709,4.297553539,0.180260554,14.50549126,2512.04248,27.11566734,2.11985755,95.51071167,20.68566322,-43.15238973,137.1610795,4093.820475,1.294598341,0.00188551,8.118093491,5278,11,1,2,7,8,0,0
